Customer,Line,Version
Samsung,11L,3.00.129.5
Samsung,12L,3.00.127.5
Samsung,15BL,3.00.122
Samsung,15L,3.00.122
Samsung,16-2L,3.00.125
Samsung,16L,3.00.125
Samsung,17L,3.00.130
Samsung,1L,3.00.130
Samsung,ERD,3.00.127.5
Samsung,P1D,3.00.130
Samsung,P1F,3.00.128
Samsung,P2,3.00.127.5
Samsung,P-PJT,3.00.122
Samsung,S1A,3.00.126
Samsung,S1B,3.00.126
Samsung,S1C,3.00.126
Samsung,S3,3.00.129.5
Samsung,S4,3.00.127.5
Samsung,SRD,3.00.122
Samsung,U2,3.00.100
Samsung,V2,3.00.130
SK hynix(I),M10A,3.00.130
SK hynix(I),M10F,3.00.129.5
SK hynix(C),M11,3.00.130
SK hynix(I),M14PH1,3.00.130
SK hynix(I),M14PH2,3.00.130
SK hynix(C),M15,3.00.126
SK hynix(I),M16,3.00.130
SK hynix(I),R3,3.00.129.5
