,Num,Customer,FAB,EQPID,S/N
1,1,HYNIX(I),FAB-7,PTS401,716807
2,2,HYNIX(I),M4,EDV070,714338
3,3,HYNIX(I),M4,EDV071,715360
4,4,HYNIX(I),M4,EDV072,715357
5,5,HYNIX(I),M4,EDV251,715630
6,6,HYNIX(I),M4,PDV191,714219
7,7,HYNIX(I),M4,PDV192,715453
8,8,HYNIX(I),M4,PDV193,715457
9,9,HYNIX(I),M4,PDV194,714218
10,10,HYNIX(I),M4,PDV195,713115
11,11,HYNIX(I),M4,PDV197,715358
12,12,HYNIX(I),M4,PDV201,816599
13,13,HYNIX(I),M4,PDV261,715362
14,14,HYNIX(I),M4,PDV263,726755
15,15,HYNIX(I),M4,PDV264,716952
16,16,HYNIX(I),M4,PPC191,714337
17,17,HYNIX(I),M4,PPC192,715629
18,18,HYNIX(I),M4,PPC193,716753
19,19,HYNIX(I),M4,PPC194,714217
20,20,HYNIX(I),M4,PPC201,726804
21,21,HYNIX(I),M4,PPC260,726803
22,22,HYNIX(I),M4,PPC261,715454
23,23,HYNIX(I),M4,PPC262,715356
24,24,HYNIX(I),M4,PTR110,9180417
25,25,HYNIX(I),M4,PTR113,715641
26,26,HYNIX(I),M4,PTR114,715654
27,27,HYNIX(I),M4,PTR115,726805
28,28,HYNIX(I),M4,PTR116,726951
29,29,HYNIX(I),M4,PTR117,714203
30,30,HYNIX(I),M4,PTR118,715652
31,31,HYNIX(I),M4,PTR119,716782
32,32,HYNIX(I),M4,PTR120,8161033
33,33,HYNIX(I),M4,PTR121,713166
34,34,HYNIX(I),M4,PTR122,716801
35,35,HYNIX(I),M4,PTR127,9180236
36,36,HYNIX(I),M4,PTR128,9180413
37,37,HYNIX(I),M4,PTR129,9180444
38,38,HYNIX(I),M4,PTR130,9280245
39,39,HYNIX(I),M4,PTR131,8171147
40,40,HYNIX(I),M4,PTR132,716787
41,41,HYNIX(I),M4,PTR133,9180445
42,42,HYNIX(I),M4,PTR134,9180418
43,43,HYNIX(I),M4,PTR135,716799
44,44,HYNIX(I),M4,PTR136,715633
45,45,HYNIX(I),M4,PTR137,716795
46,46,HYNIX(I),M4,PTR138,714201
47,47,HYNIX(I),M4,PTR139,716791
48,48,HYNIX(I),M4,PTR203,8271313
49,49,HYNIX(I),M4,PTR204,8271314
50,50,HYNIX(I),M4,PTR207,9180224
1,51,HYNIX(I),M4,PTR208,9180375
2,52,HYNIX(I),M4,PTR209,9253132
3,53,HYNIX(I),M4,PTR210,716786
4,54,HYNIX(I),M4,PTR211,714206
5,55,HYNIX(I),M4,PTR212,9180414
6,56,HYNIX(I),M4,PTR213,9201032
7,57,HYNIX(I),M4,PTR214,9201066
8,58,HYNIX(I),M4,PTR215,9201068
9,59,HYNIX(I),M4,PTR262,716880
10,60,HYNIX(I),M4,PTR264,716890
11,61,HYNIX(I),M4,PTR265,8171303
12,62,HYNIX(I),M4,PTR266,814215
13,63,HYNIX(I),M4,PTS110,714308
14,64,HYNIX(I),M4,PTS120,714220
15,65,HYNIX(I),M4,PTS201,715359
16,66,HYNIX(I),M4,PTS261,713128
17,67,HYNIX(I),M7,PCT114,715448
18,68,HYNIX(I),M7,PCT115,715435
19,69,HYNIX(I),M7,PCT116,716789
20,70,HYNIX(I),M7,PCT118,714326
21,71,HYNIX(I),M7,PCT119,716780
22,72,HYNIX(I),M7,PCT120,715440
23,73,HYNIX(I),M7,PCT121,715439
24,74,HYNIX(I),M7,PCT122,713099
25,75,HYNIX(I),M7,PDV114,715446
26,76,HYNIX(I),M7,PDV114,714293
27,77,HYNIX(I),M7,PDV116,715637
28,78,HYNIX(I),M7,PDV215,716798
29,79,HYNIX(I),M7,PDV217,716779
30,80,HYNIX(I),M7,PDV218,716792
31,81,HYNIX(I),M7,PDV219,714322
32,82,HYNIX(I),M7,PDV220,716788
33,83,HYNIX(I),M7,PDV221,716751
34,84,HYNIX(I),M7,PDV222,716747
35,85,HYNIX(I),M7,PDV223,716793
36,86,HYNIX(I),M7,PTR109,9243024
37,87,HYNIX(I),M7,PTR202,8271311
38,88,HYNIX(I),M7,PTR207,8171307
39,89,HYNIX(I),M7,PTR209,9201065
40,90,HYNIX(I),M7,PTR301,716800
41,91,HYNIX(I),M7,PTR304,716784
42,92,HYNIX(I),M7,PTR305,7161018
43,93,HYNIX(I),M7,PTR307,716785
44,94,HYNIX(I),M7,PTR308,716797
45,95,HYNIX(I),M7,PTR309,7161014
46,96,HYNIX(I),M7,PTR310,7161017
47,97,HYNIX(I),M7,PTR311,7161015
48,98,HYNIX(I),M7,PTR404,9263194
49,99,HYNIX(I),M7,PTR410,9201097
50,100,HYNIX(I),M7,PTR411,8271312
1,101,HYNIX(I),M7,PTR412,8171308
2,102,HYNIX(I),M7,PTR413,717998
3,103,HYNIX(I),M7,PTR415,9170050
4,104,HYNIX(I),M7,PTR502,9242860
5,105,HYNIX(I),M7,PTR505,9242861
6,106,HYNIX(I),M7,PTR506,7171055
7,107,SK hynix(I),M10A,PDT100,G260642
8,108,SK hynix(I),M10A,PDT101,G250245
9,109,SK hynix(I),M10A,PDT122,Z140185
10,110,SK hynix(I),M10A,PDT123,V120352
11,111,SK hynix(I),M10A,PDT124,G250210
12,112,SK hynix(I),M10A,PDT125,V130533
13,113,SK hynix(I),M10A,PDT126,Z160494
14,114,SK hynix(I),M10A,PDT127,G271237
15,115,SK hynix(I),M10A,PDT128,Z180909
16,116,SK hynix(I),M10A,PDT129,Z191101
17,117,SK hynix(I),M10A,PDT202,G260551
18,118,SK hynix(I),M10A,PDT205,G250214
19,119,SK hynix(I),M10A,PDT212,V100027
20,120,SK hynix(I),M10A,PDT214,V120344
21,121,SK hynix(I),M10A,PDT216,Z140144
22,122,SK hynix(I),M10A,PDT217,Z140175
23,123,SK hynix(I),M10A,PDT218,Z150227
24,124,SK hynix(I),M10A,PDT221,V120395
25,125,SK hynix(I),M10A,PDT222,Z191214
26,126,SK hynix(I),M10A,PDT317,Z120023
27,127,SK hynix(I),M10A,PDT318,Z130050
28,128,SK hynix(I),M10A,PDT326,G250213
29,129,SK hynix(I),M10A,PDT329,Z180674
30,130,SK hynix(I),M10A,PDT330,G260719
31,131,SK hynix(I),M10A,PIT309,G271014
32,132,SK hynix(I),M10A,PIT310,G271037
33,133,SK hynix(I),M10A,PITX01,G271216
34,134,SK hynix(I),M10A,PITX02,G271217
35,135,SK hynix(I),M10A,PITX03,G260811
36,136,SK hynix(I),M10A,PMT104,V181247
37,137,SK hynix(I),M10A,PMTX13,V140619
38,138,SK hynix(I),M10A,PND201,G211507
39,139,SK hynix(I),M10A,PND321,G240097
40,140,SK hynix(I),M10A,PTS301,E161140
41,141,SK hynix(I),M10A,TSO402,J131622
42,142,SK hynix(I),M10A,TSO501,J171213
43,143,SK hynix(I),M10A,TSO502,J151012
44,144,SK hynix(I),M10C,M12,G270932
45,145,SK hynix(I),M10C,MPTT01,G371222
46,146,SK hynix(I),M10C,PCMM2H,E171755
47,147,SK hynix(I),M10C,PDTM19,G260786
48,148,SK hynix(I),M10C,PDTM1A,G260693
49,149,SK hynix(I),M10C,PDTM21,G240082
50,150,SK hynix(I),M10C,PDTM23,G250211
1,151,SK hynix(I),M10C,PDTM24,V110149
2,152,SK hynix(I),M10C,PITM10,Z101221
3,153,SK hynix(I),M10C,PITM11,Z180894
4,154,SK hynix(I),M10C,PMCM1G,V140573
5,155,SK hynix(I),M10C,PMCM30,V140574
6,156,SK hynix(I),M10C,PPCM31,E161138
7,157,SK hynix(I),M10C,PPCM32,E140841
8,158,SK hynix(I),M10C,PPCM33,E250995
9,159,SK hynix(I),M10C,PRTM1H,G360790
10,160,SK hynix(I),M10C,PTKM14,G250212
11,161,SK hynix(I),M10C,PTKM15,N170046
12,162,SK hynix(I),M14-PH1,4PMC2201,V150751
13,163,SK hynix(I),M14-PH1,4PMC2202,V150752
14,164,SK hynix(I),M14-PH1,4PMC2205,V150750
15,165,SK hynix(I),M14-PH1,4PMC2207,V171010
16,166,SK hynix(I),M14-PH1,4PMC2208,V140614
17,167,SK hynix(I),M14-PH1,4PMC2209,V150793
18,168,SK hynix(I),M14-PH1,4PMC2212,Z160357
19,169,SK hynix(I),M14-PH1,4PMC4204,V191263
20,170,SK hynix(I),M14-PH1,4PMC4313,V171096
21,171,SK hynix(I),M14-PH1,4PND2119,V150753
22,172,SK hynix(I),M14-PH1,4PND2206,N100417
23,173,SK hynix(I),M14-PH1,4PND2213,N110472
24,174,SK hynix(I),M14-PH1,4PND4314,Z170633
25,175,SK hynix(I),M14-PH1,4PPC2308,E161080
26,176,SK hynix(I),M14-PH1,4PPD2313,E140842
27,177,SK hynix(I),M14-PH1,4PSO2301,J181830
28,178,SK hynix(I),M14-PH1,4PSO2302,J141656
29,179,SK hynix(I),M14-PH1,4PSO2304,J161715
30,180,SK hynix(I),M14-PH1,4PSO2305,K190085
31,181,SK hynix(I),M14-PH1,4PTA1902,Z250299
32,182,SK hynix(I),M14-PH1,4PTA1903,Z280673
33,183,SK hynix(I),M14-PH1,4PTA1904,Z250258
34,184,SK hynix(I),M14-PH1,4PTA1905,Z250290
35,185,SK hynix(I),M14-PH1,4PTA1910,Z250257
36,186,SK hynix(I),M14-PH1,4PTA1911,Z280918
37,187,SK hynix(I),M14-PH1,4PTA1912,Z250348
38,188,SK hynix(I),M14-PH1,4PTA1913,Z240156
39,189,SK hynix(I),M14-PH1,4PTA1914,Z260463
40,190,SK hynix(I),M14-PH1,4PTA2102,Z250349
41,191,SK hynix(I),M14-PH1,4PTA2104,Z260449
42,192,SK hynix(I),M14-PH1,4PTA2105,Z270624
43,193,SK hynix(I),M14-PH1,4PTA2106,Z270604
44,194,SK hynix(I),M14-PH1,4PTA2108,Z170567
45,195,SK hynix(I),M14-PH1,4PTA2120,Z280892
46,196,SK hynix(I),M14-PH1,4PTA2121,Z260358
47,197,SK hynix(I),M14-PH1,4PTA2122,Z250312
48,198,SK hynix(I),M14-PH1,4PTD2110,G260666
49,199,SK hynix(I),M14-PH1,4PTD2111,Z150311
50,200,SK hynix(I),M14-PH1,4PTD2112,G260525
1,201,SK hynix(I),M14-PH1,4PTD2115,G270975
2,202,SK hynix(I),M14-PH1,4PTI4104,N180113
3,203,SK hynix(I),M14-PH1,4PTI4301,G271156
4,204,SK hynix(I),M14-PH1,4PTK2109,Z180672
5,205,SK hynix(I),M14-PH1,4PTK2113,Z160397
6,206,SK hynix(I),M14-PH1,4PTK2116,Z160394
7,207,SK hynix(I),M14-PH1,4PTK4310,Z150259
8,208,SK hynix(I),M14-PH1,4PTK4311,Z150295
9,209,SK hynix(I),M14-PH1,4PTK4312,Z150300
10,210,SK hynix(I),M14-PH1,4PTK4501,Z150313
11,211,SK hynix(I),M14-PH1,4PTK4503,Z150351
12,212,SK hynix(I),M14-PH1,4PTK4504,V150727
13,213,SK hynix(I),M14-PH1,4PTK4505,V140678
14,214,SK hynix(I),M14-PH1,4PTK4506,Z160375
15,215,SK hynix(I),M14-PH1,4PTK4510,Z150282
16,216,SK hynix(I),M14-PH1,4PTK4511,Z150352
17,217,SK hynix(I),M14-PH1,4PTK4515,V140599
18,218,SK hynix(I),M14-PH1,4TPD2118,Z150350
19,219,SK hynix(I),M14-PH2,4PMCC202,V181163
20,220,SK hynix(I),M14-PH2,4PMCC203,V181201
21,221,SK hynix(I),M14-PH2,4PMCC302,V130487
22,222,SK hynix(I),M14-PH2,4PMCC309,V181158
23,223,SK hynix(I),M14-PH2,4PMCC310,V171036
24,224,SK hynix(I),M14-PH2,4PMCC311,V181162
25,225,SK hynix(I),M14-PH2,4PMCC312,V171097
26,226,SK hynix(I),M14-PH2,4PMCC313,V181159
27,227,SK hynix(I),M14-PH2,4PMCC314,V181161
28,228,SK hynix(I),M14-PH2,4PMCE307,N120624
29,229,SK hynix(I),M14-PH2,4PMCE322,V181231
30,230,SK hynix(I),M14-PH2,4PNDC304,Z170509
31,231,SK hynix(I),M14-PH2,4PNDC402,Z180634
32,232,SK hynix(I),M14-PH2,4PNDC403,Z170627
33,233,SK hynix(I),M14-PH2,4PNDE321,V190016
34,234,SK hynix(I),M14-PH2,4PPCC307,K110110
35,235,SK hynix(I),M14-PH2,4PRTC307,N120612
36,236,SK hynix(I),M14-PH2,4PSOC303,J171750
37,237,SK hynix(I),M14-PH2,4PSOE303,J171768
38,238,SK hynix(I),M14-PH2,4PSOE304,J181785
39,239,SK hynix(I),M14-PH2,4PSOE305,J181794
40,240,SK hynix(I),M14-PH2,4PTAB908,Z270561
41,241,SK hynix(I),M14-PH2,4PTAB909,Z270562
42,242,SK hynix(I),M14-PH2,4PTAB910,Z280702
43,243,SK hynix(I),M14-PH2,4PTAB912,Z280789
44,244,SK hynix(I),M14-PH2,4PTAB914,V100034
45,245,SK hynix(I),M14-PH2,4PTAB915,Z280716
46,246,SK hynix(I),M14-PH2,4PTAB917,Z280668
47,247,SK hynix(I),M14-PH2,4PTAB918,Z280718
48,248,SK hynix(I),M14-PH2,4PTAB920,Z601310
49,249,SK hynix(I),M14-PH2,4PTAC103,N180235
50,250,SK hynix(I),M14-PH2,4PTAC106,N170098
1,251,SK hynix(I),M14-PH2,4PTAC116,V100022
2,252,SK hynix(I),M14-PH2,4PTAC117,N180110
3,253,SK hynix(I),M14-PH2,4PTAC119,N180212
4,254,SK hynix(I),M14-PH2,4PTAE501,V100062
5,255,SK hynix(I),M14-PH2,4PTAE507,Z280865
6,256,SK hynix(I),M14-PH2,4PTAE508,Z280889
7,257,SK hynix(I),M14-PH2,4PTAE509,Z280890
8,258,SK hynix(I),M14-PH2,4PTDC111,Z150326
9,259,SK hynix(I),M14-PH2,4PTDC123,Z160456
10,260,SK hynix(I),M14-PH2,4PTIC110,V140617
11,261,SK hynix(I),M14-PH2,4PTIC121,V140618
12,262,SK hynix(I),M14-PH2,4PTIE318,Z180723
13,263,SK hynix(I),M14-PH2,4PTKB911,Z170623
14,264,SK hynix(I),M14-PH2,4PTKB919,Z180688
15,265,SK hynix(I),M14-PH2,4PTKC102,V140595
16,266,SK hynix(I),M14-PH2,4PTKC112,Z170554
17,267,SK hynix(I),M14-PH2,4PTKC114,Z280717
18,268,SK hynix(I),M14-PH2,4PTKC118,Z180689
