,Customer,FAB,EQPID,SN
0,Samsung,11-LINE,**,FWT0005
1,Samsung,11-LINE,PTA301,G260624
2,Samsung,11-LINE,PTAA09,G250333
3,Samsung,11-LINE,PTAA10,G260835
4,Samsung,11-LINE,PTAA17,G240114
5,Samsung,11-LINE,PTAA18,G250251
6,Samsung,11-LINE,PTAA20,G271276
7,Samsung,11-LINE,PTE370,E240754
8,Samsung,11-LINE,PTE371,E250943
9,Samsung,11-LINE,PTE377,E230635
10,Samsung,11-LINE,PTH311,G271039
11,Samsung,11-LINE,PTH315,G271275
12,Samsung,11-LINE,PTH316,N110470
13,Samsung,11-LINE,PTHA15,N100447
14,Samsung,11-LINE,PTVA02,V120333
15,Samsung,11-LINE,PTVA03,N190270
16,Samsung,11-LINE,PTYA69,N150732
17,Samsung,11-LINE,TPST10,G260533
18,Samsung,11-LINE,TPST19,G270969
19,Samsung,11-LINE,TPST21,N180115
20,Samsung,12-LINE,**,FWT0006
21,Samsung,12-LINE,PWOC03,E230615
22,Samsung,12-LINE,PWOC04,E230616
23,Samsung,12-LINE,PWOC05,G250263
24,Samsung,12-LINE,PWOC06,G240060
25,Samsung,12-LINE,PWOC11,E230614
26,Samsung,12-LINE,PWOC15,N110529
27,Samsung,12-LINE,PWOC16,V110209
28,Samsung,12-LINE,PWOC17,N100354
29,Samsung,12-LINE,PWOC18,Z240152
30,Samsung,12-LINE,PWOC26,G260851
31,Samsung,12-LINE,PWOC27,N170011
32,Samsung,12-LINE,PWOC29,N170082
33,Samsung,12-LINE,PWOC30,G271051
34,Samsung,12-LINE,PWOC31,G270966
35,Samsung,12-LINE,PWOC32,N110552
36,Samsung,12-LINE,PWOC33,G270905
37,Samsung,12-LINE,PWOC34,G260727
38,Samsung,12-LINE,PWOC36,N120596
39,Samsung,12-LINE,PWOC37,E230624
40,Samsung,12-LINE,PWOC38,E230625
41,Samsung,12-LINE,PWOC39,E230707
42,Samsung,12-LINE,PWOC42,G260520
43,Samsung,12-LINE,PWOC43,V140577
44,Samsung,12-LINE,PWOC44,G371106
45,Samsung,12-LINE,PWOC47,N180178
46,Samsung,12-LINE,PWOC48,N180152
47,Samsung,12-LINE,PWOC49,N180118
48,Samsung,12-LINE,PWOC50,N170081
49,Samsung,13-LINE,**,FWT0003
50,Samsung,13-LINE,PSPE01,N100353
51,Samsung,13-LINE,PSPE04,G240113
